customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Predicted Churn,Churn Probability,Recommendation,Prediction Status
1141,0,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1651,0,0,0.23,🤝 Maintain engagement,✅ Correct
723,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1609,1,0,0.33975,🤝 Maintain engagement,❌ Incorrect
2541,1,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3041,0,0,0.01,🤝 Maintain engagement,✅ Correct
4479,0,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2567,0,0,0.05,🤝 Maintain engagement,✅ Correct
4873,1,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,959,0,0,0.29,🤝 Maintain engagement,✅ Correct
4584,0,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4019,1,1,0.58,📉 Offer retention benefit,✅ Correct
6119,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2592,1,0,0.3,🤝 Maintain engagement,❌ Incorrect
3733,0,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,5135,0,0,0.01,🤝 Maintain engagement,✅ Correct
6199,1,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,184,1,0,0.44,🤝 Maintain engagement,❌ Incorrect
2700,1,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,5354,0,0,0.07,🤝 Maintain engagement,✅ Correct
3481,0,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,1360,0,1,0.74,📉 Offer retention benefit,❌ Incorrect
4844,1,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1449,0,0,0.0,🤝 Maintain engagement,✅ Correct
5194,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1610,0,0,0.34875,🤝 Maintain engagement,✅ Correct
2384,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,3815,0,0,0.39,🤝 Maintain engagement,✅ Correct
4423,1,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,5644,0,0,0.04,🤝 Maintain engagement,✅ Correct
4292,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2742,1,1,0.53,📉 Offer retention benefit,✅ Correct
4656,1,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3073,0,0,0.24,🤝 Maintain engagement,✅ Correct
3828,0,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3074,1,1,0.57,📉 Offer retention benefit,✅ Correct
5803,1,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,202,1,1,0.86,📉 Offer retention benefit,✅ Correct
6263,0,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,4024,0,0,0.05,🤝 Maintain engagement,✅ Correct
6671,1,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4118,0,0,0.02,🤝 Maintain engagement,✅ Correct
6956,1,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3572,0,0,0.05,🤝 Maintain engagement,✅ Correct
3268,1,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4105,0,0,0.02,🤝 Maintain engagement,✅ Correct
2862,1,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6503,0,0,0.13,🤝 Maintain engagement,✅ Correct
2599,1,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3348,0,1,0.77,📉 Offer retention benefit,❌ Incorrect
4212,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,6481,0,0,0.27,🤝 Maintain engagement,✅ Correct
5510,1,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,809,1,1,0.65,📉 Offer retention benefit,✅ Correct
5427,0,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,3599,0,0,0.01,🤝 Maintain engagement,✅ Correct
2047,1,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3625,0,0,0.01,🤝 Maintain engagement,✅ Correct
5686,1,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3285,0,0,0.41,🤝 Maintain engagement,✅ Correct
6630,1,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,789,1,1,0.54,📉 Offer retention benefit,✅ Correct
4658,1,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1275,0,0,0.12,🤝 Maintain engagement,✅ Correct
5305,1,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5113,1,1,0.65,📉 Offer retention benefit,✅ Correct
3265,1,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,3782,0,0,0.01,🤝 Maintain engagement,✅ Correct
1129,0,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1274,1,1,0.7,📉 Offer retention benefit,✅ Correct
6198,1,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5104,0,0,0.12,🤝 Maintain engagement,✅ Correct
3578,0,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,5555,0,0,0.25,🤝 Maintain engagement,✅ Correct
2783,1,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,6314,0,0,0.03,🤝 Maintain engagement,✅ Correct
4218,1,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,5937,0,0,0.29,🤝 Maintain engagement,✅ Correct
295,1,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,3985,0,1,0.57,📉 Offer retention benefit,❌ Incorrect
832,0,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,4530,0,0,0.49,🤝 Maintain engagement,✅ Correct
358,0,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2558,0,0,0.02,🤝 Maintain engagement,✅ Correct
374,1,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6459,0,0,0.25,🤝 Maintain engagement,✅ Correct
4043,1,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6234,1,1,0.54,📉 Offer retention benefit,✅ Correct
3609,1,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2086,0,0,0.28,🤝 Maintain engagement,✅ Correct
6090,0,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3157,0,0,0.07,🤝 Maintain engagement,✅ Correct
2382,1,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2143,0,0,0.04,🤝 Maintain engagement,✅ Correct
2215,1,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,6399,0,0,0.04,🤝 Maintain engagement,✅ Correct
5262,0,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6290,0,0,0.36,🤝 Maintain engagement,✅ Correct
1562,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,4137,0,0,0.25,🤝 Maintain engagement,✅ Correct
501,1,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,181,0,0,0.08,🤝 Maintain engagement,✅ Correct
1272,0,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,5563,0,0,0.22,🤝 Maintain engagement,✅ Correct
5697,0,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,785,0,0,0.02,🤝 Maintain engagement,✅ Correct
3994,1,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1295,0,0,0.11,🤝 Maintain engagement,✅ Correct
1836,1,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5009,0,0,0.16,🤝 Maintain engagement,✅ Correct
4550,1,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2339,0,0,0.12,🤝 Maintain engagement,✅ Correct
3970,1,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4071,0,0,0.24,🤝 Maintain engagement,✅ Correct
108,0,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1742,0,0,0.23,🤝 Maintain engagement,✅ Correct
2731,1,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,397,0,0,0.15,🤝 Maintain engagement,✅ Correct
4191,1,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5966,1,1,0.62,📉 Offer retention benefit,✅ Correct
5766,1,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,4676,0,0,0.37,🤝 Maintain engagement,✅ Correct
6488,1,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4199,1,1,0.56,📉 Offer retention benefit,✅ Correct
6989,1,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3682,0,0,0.29,🤝 Maintain engagement,✅ Correct
202,1,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,6491,0,0,0.04,🤝 Maintain engagement,✅ Correct
3100,0,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6364,0,0,0.5,🤝 Maintain engagement,✅ Correct
3376,1,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1852,0,0,0.02,🤝 Maintain engagement,✅ Correct
1258,1,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,108,0,0,0.02,🤝 Maintain engagement,✅ Correct
1920,1,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,6382,0,0,0.01,🤝 Maintain engagement,✅ Correct
2103,0,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,19,0,0,0.44,🤝 Maintain engagement,✅ Correct
3345,0,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2229,0,0,0.27,🤝 Maintain engagement,✅ Correct
1663,0,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,5723,0,1,0.53,📉 Offer retention benefit,❌ Incorrect
5137,0,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,4717,0,0,0.04,🤝 Maintain engagement,✅ Correct
4305,1,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,5575,0,0,0.13,🤝 Maintain engagement,✅ Correct
6945,0,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,5751,0,0,0.13,🤝 Maintain engagement,✅ Correct
6099,1,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6384,1,0,0.34,🤝 Maintain engagement,❌ Incorrect
6908,0,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4018,0,0,0.03,🤝 Maintain engagement,✅ Correct
173,0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,252,1,0,0.34,🤝 Maintain engagement,❌ Incorrect
2249,0,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,203,0,0,0.03,🤝 Maintain engagement,✅ Correct
3208,1,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2175,1,1,0.75,📉 Offer retention benefit,✅ Correct
4530,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1610,0,0,0.35308333333333336,🤝 Maintain engagement,✅ Correct
2575,1,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1483,0,0,0.34,🤝 Maintain engagement,✅ Correct
5064,0,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3122,0,0,0.09,🤝 Maintain engagement,✅ Correct
3835,1,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2630,0,0,0.05,🤝 Maintain engagement,✅ Correct
2233,0,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,5833,1,0,0.19,🤝 Maintain engagement,❌ Incorrect
4386,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,1,0,0,0.38,🤝 Maintain engagement,✅ Correct
4782,1,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,5672,0,0,0.22,🤝 Maintain engagement,✅ Correct
6863,1,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,6385,0,0,0.2,🤝 Maintain engagement,✅ Correct
6067,0,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3358,0,0,0.19,🤝 Maintain engagement,✅ Correct
1968,0,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,658,0,0,0.02,🤝 Maintain engagement,✅ Correct
327,0,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4391,1,0,0.39,🤝 Maintain engagement,❌ Incorrect
3173,1,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2642,0,0,0.07,🤝 Maintain engagement,✅ Correct
4055,1,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3380,0,0,0.14,🤝 Maintain engagement,✅ Correct
3419,1,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2475,1,0,0.46,🤝 Maintain engagement,❌ Incorrect
3735,1,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,2967,0,0,0.04,🤝 Maintain engagement,✅ Correct
2142,0,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,2128,0,0,0.3,🤝 Maintain engagement,✅ Correct
6732,1,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,240,0,0,0.09,🤝 Maintain engagement,✅ Correct
3763,1,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,124,1,1,0.8,📉 Offer retention benefit,✅ Correct
5961,1,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,6160,0,0,0.04,🤝 Maintain engagement,✅ Correct
6644,0,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1769,0,0,0.19,🤝 Maintain engagement,✅ Correct
745,1,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,4581,0,0,0.11,🤝 Maintain engagement,✅ Correct
2032,1,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,230,0,0,0.11,🤝 Maintain engagement,✅ Correct
274,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1931,1,1,0.6,📉 Offer retention benefit,✅ Correct
4607,1,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,3039,0,0,0.29,🤝 Maintain engagement,✅ Correct
5130,1,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5043,0,0,0.18,🤝 Maintain engagement,✅ Correct
3222,0,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,2632,0,0,0.07,🤝 Maintain engagement,✅ Correct
3079,1,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1755,1,1,0.72,📉 Offer retention benefit,✅ Correct
4794,0,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1228,0,0,0.03,🤝 Maintain engagement,✅ Correct
2760,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1489,0,0,0.3484166666666666,🤝 Maintain engagement,✅ Correct
1808,0,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3403,0,0,0.07,🤝 Maintain engagement,✅ Correct
1989,1,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,394,0,1,0.72,📉 Offer retention benefit,❌ Incorrect
4403,1,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,912,1,0,0.42,🤝 Maintain engagement,❌ Incorrect
6058,0,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2837,0,0,0.12,🤝 Maintain engagement,✅ Correct
2158,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3032,1,1,0.5766666666666667,📉 Offer retention benefit,✅ Correct
1632,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6058,1,0,0.28,🤝 Maintain engagement,❌ Incorrect
5539,1,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,348,0,0,0.09,🤝 Maintain engagement,✅ Correct
5570,1,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1304,0,0,0.17,🤝 Maintain engagement,✅ Correct
2656,1,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,510,0,0,0.01,🤝 Maintain engagement,✅ Correct
4410,0,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,319,0,0,0.0,🤝 Maintain engagement,✅ Correct
262,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510,1,1,0.53,📉 Offer retention benefit,✅ Correct
2197,1,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,5173,0,0,0.08,🤝 Maintain engagement,✅ Correct
2863,1,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4664,1,0,0.32,🤝 Maintain engagement,❌ Incorrect
751,1,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4894,0,0,0.23,🤝 Maintain engagement,✅ Correct
1806,0,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,4419,0,0,0.03,🤝 Maintain engagement,✅ Correct
775,0,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1278,0,0,0.0,🤝 Maintain engagement,✅ Correct
4058,1,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,5168,0,0,0.1,🤝 Maintain engagement,✅ Correct
4848,0,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,4983,0,0,0.16,🤝 Maintain engagement,✅ Correct
1446,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3821,1,0,0.39916666666666667,🤝 Maintain engagement,❌ Incorrect
4571,0,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1528,0,0,0.03,🤝 Maintain engagement,✅ Correct
2420,0,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,141,0,0,0.38,🤝 Maintain engagement,✅ Correct
2662,1,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,4669,0,0,0.16,🤝 Maintain engagement,✅ Correct
2724,0,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5236,1,1,0.57,📉 Offer retention benefit,✅ Correct
1140,1,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,5988,0,0,0.17,🤝 Maintain engagement,✅ Correct
6408,0,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,4370,0,0,0.0,🤝 Maintain engagement,✅ Correct
2144,1,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,250,0,0,0.06,🤝 Maintain engagement,✅ Correct
4643,1,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,290,0,1,0.52,📉 Offer retention benefit,❌ Incorrect
6472,1,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1378,0,0,0.3,🤝 Maintain engagement,✅ Correct
1893,0,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3583,0,0,0.04,🤝 Maintain engagement,✅ Correct
4522,0,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,51,0,0,0.18,🤝 Maintain engagement,✅ Correct
5349,0,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,2166,0,0,0.04,🤝 Maintain engagement,✅ Correct
6353,1,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,5845,0,0,0.29,🤝 Maintain engagement,✅ Correct
589,1,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1047,1,0,0.46,🤝 Maintain engagement,❌ Incorrect
3124,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,639,0,0,0.39,🤝 Maintain engagement,✅ Correct
3250,0,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3383,0,0,0.02,🤝 Maintain engagement,✅ Correct
2015,1,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1966,0,0,0.05,🤝 Maintain engagement,✅ Correct
4498,0,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,659,0,0,0.01,🤝 Maintain engagement,✅ Correct
2359,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373,1,1,0.63,📉 Offer retention benefit,✅ Correct
4259,0,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5071,0,0,0.01,🤝 Maintain engagement,✅ Correct
2406,0,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2300,1,0,0.44,🤝 Maintain engagement,❌ Incorrect
794,1,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2790,0,0,0.12,🤝 Maintain engagement,✅ Correct
5437,0,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3064,0,0,0.12,🤝 Maintain engagement,✅ Correct
1269,1,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2066,1,1,0.66,📉 Offer retention benefit,✅ Correct
4780,0,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,339,0,0,0.11,🤝 Maintain engagement,✅ Correct
475,1,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4239,1,0,0.4,🤝 Maintain engagement,❌ Incorrect
4190,1,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5230,0,0,0.08,🤝 Maintain engagement,✅ Correct
1185,1,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,5917,0,0,0.12,🤝 Maintain engagement,✅ Correct
1818,1,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,277,1,1,0.57,📉 Offer retention benefit,✅ Correct
1398,1,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4260,1,0,0.3,🤝 Maintain engagement,❌ Incorrect
4211,1,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1001,0,0,0.34,🤝 Maintain engagement,✅ Correct
2597,0,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,459,0,0,0.03,🤝 Maintain engagement,✅ Correct
4476,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2507,1,0,0.48,🤝 Maintain engagement,❌ Incorrect
4663,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,3816,0,0,0.43,🤝 Maintain engagement,✅ Correct
6592,0,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5278,1,1,0.68,📉 Offer retention benefit,✅ Correct
3926,0,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2104,0,0,0.06,🤝 Maintain engagement,✅ Correct
1288,1,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,216,1,1,0.69,📉 Offer retention benefit,✅ Correct
692,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2044,1,0,0.43,🤝 Maintain engagement,❌ Incorrect
3405,0,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,48,0,0,0.38,🤝 Maintain engagement,✅ Correct
5802,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,6099,0,0,0.27,🤝 Maintain engagement,✅ Correct
653,1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,2090,0,0,0.11,🤝 Maintain engagement,✅ Correct
5691,1,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2015,0,0,0.09,🤝 Maintain engagement,✅ Correct
5047,0,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,2757,0,0,0.04,🤝 Maintain engagement,✅ Correct
1695,0,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,4440,1,1,0.55,📉 Offer retention benefit,✅ Correct
